subject_id,session_id,run_id,trial_index,block_id,trials_into_block,motion_direction,motion_coherence,prior_std,prior_mean,estimate_deg,error_from_motion,abs_error_from_motion,motion_offset_from_prior,estimate_offset_from_prior,prev_prior_std,prev_prior_mean,same_session_prev,prior_std_change,original_estimate_deg,simulated_error_from_motion,simulated_from_predicted_estimate_deg,simulated_is_lapse,recovery_subject_id
1,1,1,1,1,1,225,0.12,10,225,222.94831222942045,0.583113447340537,0.583113447340537,0.0,0.583113447340537,,,False,,225.58311344734054,-2.051687770579548,225.0,False,1
1,1,1,2,1,2,225,0.12,10,225,227.65655449818829,-1.7087177331824819,1.7087177331824819,0.0,-1.7087177331824819,,,False,,223.29128226681752,2.656554498188285,225.0,False,1
1,1,1,3,1,3,235,0.06,10,225,247.03988463952217,-3.6873086013510203,3.6873086013510203,10.0,6.31269139864898,,,False,,231.31269139864898,12.039884639522171,226.0,False,1
1,1,1,4,1,4,225,0.06,10,225,229.74392396530556,5.1667758083872,5.1667758083872,0.0,5.1667758083872,,,False,,230.1667758083872,4.743923965305555,225.0,True,1
1,1,1,5,1,5,215,0.24,10,225,255.55844575995098,14.020860218125677,14.020860218125677,-10.0,4.0208602181256765,,,False,,229.02086021812568,40.558445759950985,222.0,False,1
1,1,1,6,1,6,205,0.24,10,225,198.73407973606925,18.291282266817518,18.291282266817518,-20.0,-1.7087177331824819,,,False,,223.29128226681752,-6.265920263930752,218.0,False,1
1,1,1,7,1,7,235,0.06,10,225,239.4097235243657,-8.270970962397769,8.270970962397769,10.0,1.7290290376022313,,,False,,226.72902903760223,4.409723524365688,226.0,False,1
1,1,1,8,1,8,215,0.12,10,225,191.8320719599745,4.853535496032322,4.853535496032322,-10.0,-5.146464503967678,,,False,,219.85353549603232,-23.167928040025487,223.0,False,1
1,1,1,9,1,9,225,0.12,10,225,211.23584992144876,5.1667758083872,5.1667758083872,0.0,5.1667758083872,,,False,,230.1667758083872,-13.76415007855124,225.0,False,1
1,1,2,1,2,1,255,0.06,80,225,235.21954403109714,-53.48111394815393,53.48111394815393,30.0,-23.481113948153933,10.0,225.0,True,70.0,201.51888605184607,-19.780455968902857,243.0,False,1
1,1,2,2,2,2,235,0.06,80,225,217.8075108510106,-20.876042455275837,20.876042455275837,10.0,-10.876042455275837,10.0,225.0,True,70.0,214.12395754472416,-17.19248914898941,231.0,False,1
1,1,2,3,2,3,235,0.12,80,225,226.09465041610758,-15.146464503967678,15.146464503967678,10.0,-5.146464503967678,10.0,225.0,True,70.0,219.85353549603232,-8.905349583892416,233.0,False,1
1,1,2,4,2,4,185,0.06,80,225,188.6403816376156,29.123957544724163,29.123957544724163,-40.0,-10.876042455275837,10.0,225.0,True,70.0,214.12395754472416,3.6403816376156044,198.0,False,1
1,1,2,5,2,5,335,0.06,80,225,334.18190443127105,-155.25351016312518,155.25351016312518,110.0,-45.253510163125185,10.0,225.0,True,70.0,179.74648983687482,-0.8180955687289497,307.0,False,1
